,dag,mccabe,dag_nodes,dag_edges,p_conditional,p_edge,p_invert_edge,structural_hamming_distance,total_tests,n_tests,num_jobs,new_mccabe,mutation_score,true_positives,true_negatives,false_positives,false_negatives
0,original_dag,36,30,317,0.5,0.75,0.0,0,2170,5,440,8,0.9977220956719818,837.0,186177.0,3494.0,18.0
1,misspecified_dag_75,36,30,162,0.5,0.75,0.75,307,2170,5,440,8,0.1845102505694761,139.0,72296.0,117933.0,158.0
2,misspecified_dag_50,36,30,224,0.5,0.75,0.5,195,2170,5,440,8,0.2164009111617312,153.0,101695.0,88528.0,150.0
3,misspecified_dag_25,36,30,268,0.5,0.75,0.25,99,2170,5,440,8,0.3325740318906606,225.0,126207.0,63918.0,176.0
4,misspecified_dag_100,36,30,107,0.5,0.75,1.0,424,2170,5,440,8,0.1070615034168565,83.0,43378.0,146928.0,137.0
5,original_dag,57,30,317,1.0,0.75,0.0,0,2170,5,525,29,0.9675572519083969,1444.0,202916.0,22866.0,190.0
6,misspecified_dag_75,57,30,163,1.0,0.75,0.75,310,2170,5,525,29,0.4198473282442748,640.0,90536.0,135729.0,511.0
7,misspecified_dag_50,57,30,222,1.0,0.75,0.5,203,2170,5,525,29,0.45610687022900764,581.0,123083.0,103363.0,389.0
8,misspecified_dag_25,57,30,263,1.0,0.75,0.25,108,2170,5,525,29,0.5572519083969466,792.0,141212.0,84836.0,576.0
9,misspecified_dag_100,57,30,111,1.0,0.75,1.0,428,2170,5,525,29,0.30916030534351147,548.0,64428.0,161754.0,686.0
10,original_dag,38,30,435,0.25,1.0,0.0,0,4350,10,436,9,0.9862068965517241,770.0,181495.0,6901.0,59.0
11,misspecified_dag_75,38,30,107,0.25,1.0,0.75,328,4350,10,436,9,0.07816091954022988,36.0,47379.0,141737.0,73.0
12,misspecified_dag_50,38,30,226,0.25,1.0,0.5,209,4350,10,436,9,0.27816091954022987,164.0,99016.0,89996.0,49.0
13,misspecified_dag_25,38,30,331,0.25,1.0,0.25,104,4350,10,436,9,0.3310344827586207,207.0,143343.0,45612.0,63.0
14,misspecified_dag_100,38,30,0,0.25,1.0,1.0,435,4350,10,436,9,0.0,0.0,1740.0,187361.0,124.0
15,original_dag,42,30,435,0.5,1.0,0.0,0,4350,10,436,13,1.0,796.0,186689.0,1726.0,14.0
16,misspecified_dag_75,42,30,113,0.5,1.0,0.75,322,4350,10,436,13,0.05517241379310345,30.0,50865.0,138257.0,73.0
17,misspecified_dag_50,42,30,242,0.5,1.0,0.5,193,4350,10,436,13,0.20229885057471264,133.0,104702.0,84308.0,82.0
18,misspecified_dag_25,42,30,341,0.5,1.0,0.25,94,4350,10,436,13,0.28735632183908044,306.0,147594.0,41250.0,75.0
19,misspecified_dag_100,42,30,0,0.5,1.0,1.0,435,4350,10,436,13,0.0022988505747126436,1.0,1739.0,187398.0,87.0
20,original_dag,45,30,339,0.5,0.75,0.0,0,4340,10,464,17,0.9956803455723542,1300.0,197327.0,2307.0,8.0
21,misspecified_dag_75,45,30,145,0.5,0.75,0.75,326,4340,10,464,17,0.15550755939524838,117.0,66555.0,134101.0,169.0
22,misspecified_dag_50,45,30,202,0.5,0.75,0.5,221,4340,10,464,17,0.23110151187904968,162.0,93364.0,107199.0,217.0
23,misspecified_dag_25,45,30,266,0.5,0.75,0.25,121,4340,10,464,17,0.31965442764578833,292.0,126570.0,73835.0,245.0
24,misspecified_dag_100,45,30,88,0.5,0.75,1.0,427,4340,10,464,17,0.09287257019438445,73.0,39282.0,161359.0,228.0
25,original_dag,48,30,119,0.75,0.25,0.0,0,429,1,544,22,0.6795580110497238,979.0,214592.0,17295.0,81.0
26,misspecified_dag_75,48,30,238,0.75,0.25,0.75,295,429,1,544,22,0.3314917127071823,377.0,93019.0,139029.0,522.0
27,misspecified_dag_50,48,30,209,0.75,0.25,0.5,198,429,1,544,22,0.39226519337016574,535.0,124898.0,106946.0,568.0
